L,ratio,n_measured,mean_U,var_U,se_U,tau_int,n_configs_10ppt,n_autocorr_10ppt,n_configs_1ppt,n_autocorr_1ppt
16,0.9000000000,5000,0.94478663,0.01447246,0.00170132,0.60,87,146,8677,14474
16,0.9136490000,5000,0.92688981,0.02018766,0.00200936,0.66,133,203,13288,20189
16,0.9275050000,5000,0.91462349,0.02358755,0.00217198,0.63,150,237,14963,23589
16,0.9415710000,5000,0.89406483,0.02929920,0.00242071,0.70,206,294,20574,29301
16,0.9558500000,5000,0.86897581,0.03598843,0.00268285,0.78,281,361,28044,35990
16,0.9703460000,5000,0.84677067,0.04027044,0.00283797,0.65,261,403,26085,40271
16,0.9850610000,5000,0.80833387,0.04717153,0.00307153,0.72,339,473,33840,47172
16,1.0000000000,5000,0.78115184,0.05129688,0.00320303,0.68,349,514,34844,51298
16,1.0151650000,4999,0.75265168,0.05579599,0.00334087,0.71,399,559,39834,55798
16,1.0305610000,4999,0.71140958,0.05942864,0.00344791,0.71,423,595,42283,59429
16,1.0461890000,4999,0.67113702,0.06224128,0.00352856,0.71,440,624,43950,62243
16,1.0620550000,4999,0.63906241,0.06180509,0.00351618,0.63,388,620,38728,61807
16,1.0781620000,4999,0.60296440,0.06205198,0.00352319,0.66,411,621,41075,62054
16,1.0945120000,4999,0.57028721,0.06061534,0.00348217,0.64,390,608,38944,60616
16,1.1111110000,4999,0.53883631,0.06007350,0.00346657,0.62,372,602,37171,60075
24,0.9000000000,5000,0.97506268,0.00643844,0.00113476,0.57,37,65,3674,6439
24,0.9136490000,5000,0.96294268,0.01011887,0.00142259,0.59,60,103,5939,10120
24,0.9275050000,5000,0.94770475,0.01498478,0.00173117,0.62,93,151,9266,14986
24,0.9415710000,5000,0.93242910,0.01924480,0.00196188,0.66,127,194,12658,19247
24,0.9558500000,5000,0.90146977,0.02778462,0.00235731,0.70,196,279,19544,27786
24,0.9703460000,5000,0.87356749,0.03370852,0.00259648,0.65,221,338,22074,33710
24,0.9850610000,5000,0.83538976,0.04135068,0.00287578,0.69,285,414,28484,41352
24,1.0000000000,5000,0.78738243,0.04995932,0.00316099,0.69,346,500,34585,49960
24,1.0151650000,4999,0.73594314,0.05716566,0.00338163,0.73,415,572,41476,57167
24,1.0305610000,4999,0.68079797,0.06027298,0.00347232,0.67,407,604,40623,60274
24,1.0461890000,4999,0.62305565,0.06181064,0.00351633,0.63,393,620,39213,61811
24,1.0620550000,4999,0.57208208,0.05982068,0.00345927,0.63,376,599,37571,59821
24,1.0781620000,4999,0.51733304,0.05837283,0.00341715,0.60,353,585,35241,58374
24,1.0945120000,4999,0.47838547,0.05463395,0.00330590,0.60,326,547,32587,54636
24,1.1111110000,4999,0.43720656,0.05005899,0.00316446,0.62,309,502,30860,50060
32,0.9000000000,5000,0.98968225,0.00218430,0.00066095,0.56,13,24,1234,2185
32,0.9136490000,5000,0.98219672,0.00460247,0.00095942,0.60,28,47,2762,4604
32,0.9275050000,5000,0.97333586,0.00722544,0.00120212,0.60,44,74,4304,7227
32,0.9415710000,5000,0.95464608,0.01286023,0.00160376,0.61,79,129,7881,12861
32,0.9558500000,5000,0.92878354,0.02026980,0.00201344,0.65,132,203,13181,20271
32,0.9703460000,5000,0.89148234,0.03011674,0.00245425,0.81,244,303,24316,30118
32,0.9850610000,5000,0.84399620,0.04019809,0.00283542,0.76,308,403,30750,40199
32,1.0000000000,5000,0.78582490,0.05127905,0.00320247,0.67,345,514,34450,51280
32,1.0151650000,4999,0.71574681,0.05831995,0.00341560,0.74,432,584,43178,58322
32,1.0305610000,4999,0.64531368,0.06225739,0.00352902,0.72,446,624,44535,62259
32,1.0461890000,4999,0.57271894,0.06218569,0.00352699,0.71,441,624,44011,62187
32,1.0620550000,4999,0.51548319,0.05749409,0.00339133,0.71,406,576,40560,57495
32,1.0781620000,4999,0.45545737,0.05228357,0.00323401,0.59,307,524,30678,52285
32,1.0945120000,4999,0.40210227,0.04647085,0.00304894,0.61,285,466,28438,46472
32,1.1111110000,4999,0.36585394,0.04135099,0.00287608,0.60,248,416,24709,41352
48,0.9000000000,5000,0.99761109,0.00020151,0.00020075,0.51,2,4,103,204
48,0.9136490000,5000,0.99508989,0.00087041,0.00041723,0.52,5,10,450,872
48,0.9275050000,5000,0.99163230,0.00181246,0.00060207,0.54,10,19,979,1814
48,0.9415710000,5000,0.98214106,0.00454162,0.00095306,0.56,26,47,2535,4544
48,0.9558500000,5000,0.96189230,0.01117567,0.00149504,0.62,70,114,6920,11177
48,0.9703460000,5000,0.93466866,0.01894987,0.00194679,0.67,127,191,12625,18952
48,0.9850610000,5000,0.86516912,0.03611494,0.00268756,0.80,289,363,28808,36116
48,1.0000000000,5000,0.78187797,0.05198643,0.00322448,0.85,444,521,44359,51987
48,1.0151650000,4999,0.68573089,0.06033871,0.00347421,0.77,466,604,46589,60340
48,1.0305610000,4999,0.59107973,0.06064203,0.00348293,0.68,413,607,41264,60643
48,1.0461890000,4999,0.48599753,0.05548571,0.00333157,0.66,369,557,36817,55487
48,1.0620550000,4999,0.40525181,0.04502181,0.00300103,0.61,273,451,27258,45023
48,1.0781620000,4999,0.34702126,0.03787120,0.00275241,0.60,226,380,22551,37873
48,1.0945120000,4999,0.29488330,0.03089622,0.00248606,0.59,183,311,18207,30898
48,1.1111110000,4999,0.25138469,0.02472429,0.00222393,0.59,146,248,14577,24725
