L,ratio,n,mean_U,se_U
48,1.111111,0,,
48,1.096032,0,,
48,1.080952,0,,
48,1.065873,0,,
48,1.050794,0,,
48,1.035714,0,,
48,1.020635,0,,
48,1.005556,0,,
48,0.990476,0,,
48,0.975397,0,,
48,0.960317,0,,
48,0.945238,0,,
48,0.930159,0,,
48,0.915079,0,,
48,0.900000,0,,
32,1.111111,4999,0.360439,0.002843
32,1.096032,0,,
32,1.080952,0,,
32,1.065873,0,,
32,1.050794,0,,
32,1.035714,0,,
32,1.020635,0,,
32,1.005556,0,,
32,0.990476,0,,
32,0.975397,0,,
32,0.960317,0,,
32,0.945238,0,,
32,0.930159,0,,
32,0.915079,0,,
32,0.900000,0,,
24,1.111111,0,,
24,1.096032,0,,
24,1.080952,0,,
24,1.065873,0,,
24,1.050794,0,,
24,1.035714,0,,
24,1.020635,0,,
24,1.005556,0,,
24,0.990476,0,,
24,0.975397,0,,
24,0.960317,0,,
24,0.945238,0,,
24,0.930159,0,,
24,0.915079,0,,
24,0.900000,0,,
16,1.111111,0,,
16,1.096032,0,,
16,1.080952,0,,
16,1.065873,0,,
16,1.050794,0,,
16,1.035714,0,,
16,1.020635,0,,
16,1.005556,0,,
16,0.990476,0,,
16,0.975397,0,,
16,0.960317,0,,
16,0.945238,0,,
16,0.930159,0,,
16,0.915079,0,,
16,0.900000,0,,
